Metric,total_wins,total_pnl,avg_pnl,win_percent,avg_pnl_win,avg_pnl_loss
SMA,160,417.25,1.02,38.93,36.5,-22.13
Supertrend,127,917.8,2.96,40.97,38.53,-21.85
