Metric,total_wins,total_pnl,avg_pnl,win_percent,avg_pnl_win,avg_pnl_loss
SMA,2,417.25,34.77,16.67,654.72,-446.1
Supertrend,1,917.8,76.48,8.33,1224.5,-153.35
