order_id,tradingsymbol,entry_time,exchange,transaction_type,order_type,product,price,trigger_price,exit_time,entry_price,exit_price,position,trade_status,comments,pnl,Metric
-1,BANKNIFTY2260235900PE,01-06-2022 09:32,,BUY,,,,,01-06-2022 09:49,418.85,421.35,BUY,closed,stop loss hit,2.5,SMA
-1,BANKNIFTY2260235900PE,01-06-2022 10:11,,BUY,,,,,01-06-2022 10:23,437.1,415.35,BUY,closed,stop loss hit,-21.75,SMA
-1,BANKNIFTY2260235300CE,01-06-2022 12:02,,BUY,,,,,01-06-2022 12:10,446.5,453.05,BUY,closed,stop loss hit,6.55,SMA
-1,BANKNIFTY2260235900PE,01-06-2022 13:58,,BUY,,,,,01-06-2022 14:03,489.05,472.2,BUY,closed,stop loss hit,-16.85,SMA
-1,BANKNIFTY2260235200CE,02-06-2022 10:25,,BUY,,,,,02-06-2022 10:40,366.65,405.5,BUY,closed,stop loss hit,38.85,SMA
-1,BANKNIFTY2260235800PE,02-06-2022 12:30,,BUY,,,,,02-06-2022 12:34,303.05,270.3,BUY,closed,stop loss hit,-32.75,SMA
-1,BANKNIFTY2260235800PE,02-06-2022 13:34,,BUY,,,,,02-06-2022 13:38,285.6,317.7,BUY,closed,stop loss hit,32.1,SMA
-1,BANKNIFTY2260235200CE,02-06-2022 14:29,,BUY,,,,,02-06-2022 14:33,328.4,310.3,BUY,closed,stop loss hit,-18.1,SMA
-1,BANKNIFTY2260935500CE,03-06-2022 09:30,,BUY,,,,,03-06-2022 09:33,638.5,622.65,BUY,closed,stop loss hit,-15.85,SMA
-1,BANKNIFTY2260936100PE,03-06-2022 11:02,,BUY,,,,,03-06-2022 11:29,621.15,616.55,BUY,closed,stop loss hit,-4.6,SMA
-1,BANKNIFTY2260936100PE,03-06-2022 12:47,,BUY,,,,,03-06-2022 12:58,675.0,721.15,BUY,closed,stop loss hit,46.15,SMA
-1,BANKNIFTY2260936100PE,03-06-2022 14:07,,BUY,,,,,03-06-2022 14:16,724.0,717.7,BUY,closed,stop loss hit,-6.3,SMA
-1,BANKNIFTY2260935500PE,06-06-2022 09:50,,BUY,,,,,06-06-2022 10:00,531.75,504.8,BUY,closed,stop loss hit,-26.95,SMA
-1,BANKNIFTY2260935500PE,06-06-2022 10:24,,BUY,,,,,06-06-2022 10:49,480.35,505.8,BUY,closed,stop loss hit,25.45,SMA
-1,BANKNIFTY2260935500PE,06-06-2022 10:55,,BUY,,,,,06-06-2022 11:38,470.25,512.3,BUY,closed,stop loss hit,42.05,SMA
-1,BANKNIFTY2260935500PE,06-06-2022 12:00,,BUY,,,,,06-06-2022 12:03,490.1,466.9,BUY,closed,stop loss hit,-23.2,SMA
-1,BANKNIFTY2260934900CE,06-06-2022 14:26,,BUY,,,,,06-06-2022 14:36,619.05,647.75,BUY,closed,stop loss hit,28.7,SMA
-1,BANKNIFTY2260935300PE,07-06-2022 10:07,,BUY,,,,,07-06-2022 10:27,422.6,397.15,BUY,closed,stop loss hit,-25.45,SMA
-1,BANKNIFTY2260935300PE,07-06-2022 12:22,,BUY,,,,,07-06-2022 12:39,450.4,473.05,BUY,closed,stop loss hit,22.65,SMA
-1,BANKNIFTY2260935300PE,07-06-2022 14:27,,BUY,,,,,07-06-2022 14:28,525.2,502.3,BUY,closed,stop loss hit,-22.9,SMA
-1,BANKNIFTY2260934800CE,08-06-2022 09:59,,BUY,,,,,08-06-2022 10:04,411.7,392.05,BUY,closed,stop loss hit,-19.65,SMA
-1,BANKNIFTY2260934800CE,08-06-2022 10:05,,BUY,,,,,08-06-2022 10:06,353.5,328.15,BUY,closed,stop loss hit,-25.35,SMA
-1,BANKNIFTY2260934800CE,08-06-2022 11:01,,BUY,,,,,08-06-2022 11:09,628.0,604.3,BUY,closed,stop loss hit,-23.7,SMA
-1,BANKNIFTY2260934800CE,08-06-2022 11:15,,BUY,,,,,08-06-2022 11:26,551.65,564.45,BUY,closed,stop loss hit,12.8,SMA
-1,BANKNIFTY2260934800CE,08-06-2022 12:22,,BUY,,,,,08-06-2022 12:37,566.4,549.55,BUY,closed,stop loss hit,-16.85,SMA
-1,BANKNIFTY2260935000PE,09-06-2022 09:54,,BUY,,,,,09-06-2022 10:17,265.55,316.2,BUY,closed,stop loss hit,50.65,SMA
-1,BANKNIFTY2260935000PE,09-06-2022 10:28,,BUY,,,,,09-06-2022 10:30,245.0,224.45,BUY,closed,stop loss hit,-20.55,SMA
-1,BANKNIFTY2260934400CE,09-06-2022 11:14,,BUY,,,,,09-06-2022 11:24,429.7,410.35,BUY,closed,stop loss hit,-19.35,SMA
-1,BANKNIFTY2260934400CE,09-06-2022 11:25,,BUY,,,,,09-06-2022 11:33,406.75,390.15,BUY,closed,stop loss hit,-16.6,SMA
-1,BANKNIFTY2260934400CE,09-06-2022 11:54,,BUY,,,,,09-06-2022 12:41,392.4,519.5,BUY,closed,stop loss hit,127.1,SMA
-1,BANKNIFTY2260935000PE,09-06-2022 12:42,,BUY,,,,,09-06-2022 13:09,137.05,232.15,BUY,closed,stop loss hit,95.1,SMA
-1,BANKNIFTY2260934400CE,09-06-2022 13:13,,BUY,,,,,09-06-2022 13:26,379.2,398.8,BUY,closed,stop loss hit,19.6,SMA
-1,BANKNIFTY2260935000PE,09-06-2022 14:19,,BUY,,,,,09-06-2022 14:27,122.45,97.5,BUY,closed,stop loss hit,-24.95,SMA
-1,BANKNIFTY2260935000PE,09-06-2022 14:31,,BUY,,,,,09-06-2022 14:38,102.9,118.65,BUY,closed,stop loss hit,15.75,SMA
-1,BANKNIFTY2261634900PE,10-06-2022 10:21,,BUY,,,,,10-06-2022 11:01,514.0,521.65,BUY,closed,stop loss hit,7.65,SMA
-1,BANKNIFTY2261634300CE,10-06-2022 11:28,,BUY,,,,,10-06-2022 11:29,582.15,546.95,BUY,closed,stop loss hit,-35.2,SMA
-1,BANKNIFTY2261634900PE,10-06-2022 12:06,,BUY,,,,,10-06-2022 12:45,550.0,610.0,BUY,closed,stop loss hit,60.0,SMA
-1,BANKNIFTY2261634900PE,10-06-2022 13:45,,BUY,,,,,10-06-2022 14:09,588.7,639.4,BUY,closed,stop loss hit,50.7,SMA
-1,BANKNIFTY2261634900PE,10-06-2022 14:42,,BUY,,,,,10-06-2022 14:45,665.75,641.15,BUY,closed,stop loss hit,-24.6,SMA
